Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000134,2014-03-09,2014-03-09,,Robert De Niro,Raging Bull,1943-08-17
2,nm0000197,2014-03-09,2015-10-25,,Jack Nicholson,Chinatown,1937-04-22
3,nm0000008,2014-03-09,2014-03-09,,Marlon Brando,Apocalypse Now,1924-04-03
4,nm0000243,2014-03-09,2014-03-09,,Denzel Washington,Fences,1954-12-28
5,nm0000007,2015-08-13,2015-08-13,,Humphrey Bogart,Casablanca,1899-12-25
6,nm0000158,2014-03-09,2014-03-09,,Tom Hanks,Cast Away,1956-07-09
7,nm0000022,2015-08-13,2015-08-13,,Clark Gable,It Happened One Night,1901-02-01
8,nm0000358,2014-03-09,2014-03-09,,Daniel Day-Lewis,There Will Be Blood,1957-04-29
9,nm0001627,2014-03-09,2014-03-09,,Sidney Poitier,In the Heat of the Night,1927-02-20
10,nm0000060,2015-04-03,2015-04-03,,Gregory Peck,To Kill a Mockingbird,1916-04-05
11,nm0000138,2014-03-09,2014-03-09,,Leonardo DiCaprio,Inception,1974-11-11
12,nm0000075,2014-03-09,2014-03-09,,Spencer Tracy,Guess Who's Coming to Dinner,1900-04-05
13,nm0451321,2014-03-10,2014-03-10,,Shah Rukh Khan,Don 2,1965-11-02
14,nm0000026,2014-03-09,2014-03-09,,Cary Grant,Charade,1904-01-18
15,nm0000059,2014-03-09,2014-03-09,,Laurence Olivier,Sleuth,1907-05-22
16,nm0000071,2014-08-31,2014-08-31,,James Stewart,Anatomy of a Murder,1908-05-20
17,nm0000537,2015-08-13,2015-08-13,,Steve McQueen,The Great Escape,1930-03-24
18,nm0000045,2014-03-10,2014-03-10,,Bruce Lee,Meng long guo jiang,1940-11-27
19,nm0000020,2014-03-09,2014-03-09,,Henry Fonda,12 Angry Men,1905-05-16
20,nm0000151,2015-08-13,2015-08-13,,Morgan Freeman,Se7en,1937-06-01
21,nm0000010,2014-03-09,2014-03-09,,James Cagney,Angels with Dirty Faces,1899-07-17
22,nm0000136,2014-03-09,2014-03-09,,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,1963-06-09
